Time,PM2.5,PM10,Temperature,Gas,Humidity,Pressure,Altitude
1708125615.936737,4,4,23.837421875,58367,46.14793008833003,1008.4833488363646,39.76142806439059
1708125616.9474885,4,4,23.789375,90076,45.98679252698912,1008.5043836447472,39.58563045342126
1708125617.9582627,4,4,23.7559765625,114371,45.784118357284726,1008.5206938252308,39.44932078393108
1708125618.9690173,4,4,23.7346875,134285,45.56453679328253,1008.5349129690293,39.330488068366186
1708125619.9799974,4,4,23.7216015625,147220,45.34621285718685,1008.5508197480215,39.19755299778054
1708125620.9921415,4,4,23.7161328125,158012,45.15379601274545,1008.5640024186312,39.0873849502045
1708125622.0041976,4,4,23.7145703125,166131,45.08561597829976,1008.5665422887317,39.06615929931744
1708125623.0162969,4,4,23.7159375,171907,45.15995602524022,1008.5653931310428,39.07576278505977
1708125624.0283277,4,4,23.7180859375,180005,45.20349454377832,1008.5672669343176,39.060103456513275
1708125625.0403538,3,3,23.721015625,185773,45.19765361960412,1008.5738808912931,39.004830966708475
1708125626.052369,3,3,23.72453125,190253,45.142414822362184,1008.5763226700262,38.98442522472832
1708125627.0647461,2,2,23.7290234375,194621,45.025513886004724,1008.5855482777085,38.90732794896197
1708125628.0755372,3,3,23.7321484375,197293,44.90853195535304,1008.5856199112063,38.90672931881111
1708125629.0863402,3,3,23.7352734375,202862,44.76695161996535,1008.5874087181696,38.89178054461895
1708125630.0971458,3,3,23.739765625,204114,44.63181043677936,1008.594917114583,38.829034308726925
1708125631.1081746,3,3,23.7442578125,209151,44.50909385409935,1008.5904048410699,38.866742471981354
1708125632.1203063,3,3,23.74640625,211967,44.392348748694644,1008.5939957850417,38.83673366351679
1708125633.1323502,4,4,23.7503125,212512,44.2758861567454,1008.5850694739742,38.91132923920204
1708125634.1443312,4,4,23.7544140625,215983,44.177967085990275,1008.5884902988921,38.882741957616425
1708125635.1563756,4,4,23.7575390625,216549,44.10456986764738,1008.5868443194028,38.89649713268421
1708125636.1684256,4,4,23.7598828125,220155,44.024971783662174,1008.5924789224633,38.84940977348487
1708125637.1805673,4,4,23.7641796875,220743,43.97633444471196,1008.5979434074461,38.803744263761814
1708125638.1926007,4,4,23.7675,222676,43.921459910905114,1008.5983410566977,38.800421203477065
1708125639.2046337,4,4,23.770234375,222376,43.8972210999954,1008.6029112640502,38.76222914297905
1708125640.216632,4,4,23.7735546875,223580,43.86077957421914,1008.6033088526451,38.75890660283557
1708125641.2287612,4,4,23.7770703125,226025,43.84277416321204,1008.5988808536194,38.795910250591284
1708125642.240816,4,4,23.77921875,228052,43.81847898280201,1008.5904503601959,38.866362077111674
1708125643.2528222,4,4,23.78234375,227269,43.775897888663934,1008.5802172769386,38.95187840114819
1708125644.2648473,4,4,23.7856640625,230116,43.74561361866555,1008.5823319262123,38.93420654044866
1708125645.2768366,5,5,23.7883984375,230598,43.70913648906128,1008.5834672555568,38.92471874684693
1708125646.2890148,5,5,23.7919140625,232055,43.68501599386691,1008.587625648028,38.88996769788582
1708125647.301053,5,5,23.7942578125,233036,43.64237818851638,1008.5932601922966,38.842880859536464
1708125648.3131003,5,5,23.7969921875,232381,43.63043351250623,1008.5909607180641,38.86209711223914
1708125649.3251083,5,5,23.8003125,234358,43.594047194828065,1008.5896404760189,38.87313013068525
1708125650.3371782,5,5,23.8028515625,235527,43.59433676467765,1008.5835796747988,38.9237792749365
1708125651.3491802,5,5,23.8063671875,235024,43.58861088735338,1008.5843031245829,38.9177335081081
1708125652.3612533,5,5,23.80890625,234691,43.58890044307476,1008.5885466441147,38.8822710903435
1708125653.3732557,5,5,23.812421875,234358,43.59542828870871,1008.590987453217,38.86187369163403
1708125654.3852084,5,5,23.8149609375,237729,43.601845060399064,1008.5883612608354,38.883820306399144
1708125655.3971868,5,5,23.8175,238414,43.596007508654964,1008.5874524532425,38.89141505786376
1708125656.4091752,5,5,23.8212109375,236707,43.584176984443836,1008.5902195743187,38.86829071192252
1708125657.4211092,5,5,23.8251171875,239277,43.59687639567896,1008.5898781773253,38.87114370399358
1708125658.432873,5,5,23.8286328125,238759,43.59727744357023,1008.587166409414,38.89380547894589
1708125659.4461887,5,5,23.8321484375,240846,43.58542440824978,1008.5930419209514,38.84470490860209
1708125660.4585848,5,5,23.83390625,241022,43.573371651619105,1008.6011321145263,38.777097026396646
1708125661.4706342,5,5,23.8364453125,242258,43.5369066166964,1008.593353176303,38.84210381127905
1708125662.4826753,5,5,23.8383984375,240146,43.506506404613226,1008.5914648697384,38.85788401307716
1708125663.4946911,4,4,23.8407421875,241374,43.482279027116206,1008.585076875652,38.91126738448564
1708125664.5067022,4,4,23.842890625,241904,43.445788674673615,1008.5817974046437,38.93867346781656
1708125665.5186756,4,4,23.8440625,245133,43.415315615230945,1008.5837558656358,38.92230687287689
1708125666.5307372,5,5,23.84484375,245133,43.38480359975962,1008.5867790130349,38.8970428874446
1708125667.5421214,5,5,23.8458203125,246228,43.3420826897818,1008.5884110679767,38.88340407669733
1708125668.5541072,5,5,23.846796875,246045,43.30548917734113,1008.5883256121465,38.88411821636229
1708125669.5661674,5,5,23.846796875,243867,43.28102403668895,1008.5866081007397,38.898471173999454
1708125670.578172,5,5,23.846796875,247519,43.25656247157116,1008.5866081007397,38.898471173999454
1708125671.5901768,5,5,23.847578125,247519,43.21385185030092,1008.5827612015331,38.930619143706615
1708125672.6021876,5,5,23.84796875,247704,43.18944431550644,1008.5851315331694,38.91081061982555
1708125673.6141484,5,5,23.84796875,245862,43.177219760284885,1008.5868490475768,38.8964576200987
