Time,PM2.5,PM10,Temperature,Gas,Humidity,Pressure,Altitude
1708124774.974572,2,2,35.43546875,50481,100,680.4278169050144,3235.066126130401
1708124775.985499,2,2,23.318671875,13594,46.0613464491544,1008.3922527404287,40.52279449379148
1708124776.9975064,2,2,23.3524609375,20285,46.05914310135682,1008.3989757733841,40.46660256887175
1708124778.0096314,2,2,23.390546875,25654,45.970495239298465,1008.4111616453752,40.36475234586204
1708124779.021512,3,3,23.425703125,30138,45.87533178727581,1008.4201611616688,40.289534507850185
1708124780.0335383,2,2,23.4575390625,34012,45.86048119219636,1008.4236055807967,40.26074624221161
1708124781.045554,2,2,23.48390625,37633,45.90705320295642,1008.416187498153,40.322746267881975
1708124782.0576327,2,2,23.506171875,41087,45.909691630281955,1008.4190756490337,40.298607179252116
1708124783.0697806,2,2,23.524921875,44102,45.86225278559141,1008.417801864586,40.30925342905676
1708124784.0820105,3,3,23.5415234375,46957,45.77113990181253,1008.426668823325,40.23514389651959
