Time,PM2.5,PM10,Time,Temperature,Gas,Humidity,Pressure,Altitude
1707523615.5488346,1,1,33.9024609375,100359,100,690.817393097857,3116.3869722155296
1707523616.559662,1,1,22.4981640625,1186,37.50253644972847,1008.0579558379482,43.31727117736625
1707523617.5704346,1,1,22.529609375,1438,37.41521323733206,1008.0663616326544,43.24699570869885
1707523618.5812438,1,1,22.5641796875,1694,37.328242980575666,1008.0678306496475,43.234714246701614
1707523619.5924919,2,2,22.597578125,1963,37.20167420490643,1008.0708195395131,43.20972619567359
1707523620.604675,2,2,22.627265625,2231,37.06918811448495,1008.0694580302405,43.221108830185315
1707523621.6167622,2,2,22.6532421875,2493,36.98153299082131,1008.0775111808173,43.15378220582835
1707523622.6286829,1,1,22.67453125,2755,36.882189019061954,1008.0796203471353,43.1361490487774
1707523623.6409342,1,1,22.6940625,3122,36.79399179662666,1008.0874575147018,43.07062863281034
1707523624.6531138,1,1,22.7096875,3408,36.72234104973005,1008.0957911691493,43.00095793159165
1707523625.6651638,1,1,22.7219921875,3727,36.633516236997934,1008.0952555396985,43.0054358665485
1707523626.6774023,1,1,22.7329296875,4074,36.56709692167459,1008.0993674593051,42.9710597095411
1707523627.6962295,1,1,22.7425,4416,36.517433922191024,1008.1029650654312,42.94098337003094
1707523628.7174547,1,1,22.7524609375,4764,36.479063886057354,1008.1003177094432,42.96311551688583
1707523629.7384198,1,1,22.7626171875,5130,36.45757908513164,1008.1065931138041,42.91065261836479
1707523630.7608564,1,1,22.771015625,5469,36.4190691863081,1008.0996701760067,42.968528964926094
1707523631.7927425,1,1,22.77765625,5824,36.39724754526962,1008.1019196924809,42.94972278130383
1707523632.8156757,1,1,22.784296875,6159,36.386662386983396,1008.1007273229059,42.95969110645593
1707523633.8351457,1,1,22.790546875,6574,36.37042292186896,1008.0988962916937,42.97499872335096
1707523634.860628,1,1,22.795234375,6982,36.34841631335421,1008.1065575885214,42.91094961191762
1707523635.8728588,1,1,22.7966015625,7424,36.33170339701817,1008.1053503350003,42.92104233076501
1707523636.8858004,1,1,22.7971875,7854,36.31491596259511,1008.0959825848229,42.999357671031966
1707523637.8974159,1,1,22.7977734375,8270,36.28690282204311,1008.0917775270907,43.03451257118905
1707523638.9087937,1,1,22.799140625,8711,36.25335851220714,1008.0905702229757,43.044605832826996
1707523639.9200213,1,1,22.800703125,9106,36.1973976525047,1008.0862402986028,43.0808047956204
1707523640.931512,0,0,22.8028515625,9547,36.16955786714629,1008.089751638797,43.05144933721158
1707523641.9428742,0,0,22.805390625,9947,36.1473693579555,1008.088738639762,43.05991818943274
1707523642.954245,0,0,22.8075390625,10250,36.14757834202849,1008.0870871835417,43.073724672124136
1707523643.965809,0,0,22.8110546875,10647,36.198405717525176,1008.092832972454,43.02568888179818
1707523644.977301,0,0,22.813203125,11076,36.33332499677021,1008.0860186308705,43.08265798194816
