Time,Counts
1711145333.2692225,8
1711145343.272531,18
1711145353.282848,13
1711145363.2931914,9
1711145373.303516,11
1711145383.3138773,10
1711145393.3242033,8
1711145403.3345292,4
1711145413.3448,10
1711145423.3551798,17
1711145433.3655,14
1711145443.3758192,4
