Time,PM2.5,PM10,Temperature,Gas,Humidity,Pressure,Altitude
1708126471.6005228,2,3,23.556171875,271730,41.763396866593325,1007.8691881908919,44.89556162202435
1708126472.6123254,3,4,23.5223828125,273529,41.802086651044746,1007.8436388497657,45.109198614318906
1708126473.623961,3,4,23.4883984375,274894,41.828641879699376,1007.8126112585884,45.36864921521974
1708126474.6358838,3,4,23.4555859375,275581,41.83109001313101,1007.783539615847,45.61175017772722
1708126475.6477997,3,4,23.4231640625,277665,41.827522820120194,1007.748253409376,45.90682578163225
1708126476.659746,3,4,23.3899609375,277665,41.83598815339669,1007.7116608656164,46.21283427127938
1708126477.6716557,3,4,23.3571484375,279071,41.83237962788617,1007.6808682770413,46.47034707721825
1708126478.6835737,2,4,23.32765625,279543,41.82913730659998,1007.6487569964063,46.7388946512928
1708126479.6973064,1,3,23.2954296875,279543,41.83165326548678,1007.6343843337538,46.85909589202299
1708126480.709179,1,3,23.258515625,282650,41.83365480793339,1007.6293356516596,46.90131928527129
1708126481.7209017,2,3,23.227265625,281927,41.84839468163418,1007.6200188465842,46.97923851007852
1708126482.7327156,2,3,23.2003125,281208,41.887842089591345,1007.6092994875365,47.06888843456261
1708126483.7444825,2,3,23.17296875,278366,41.945435540033145,1007.5893467669335,47.235762398937055
1708126484.7559066,2,3,23.1512890625,278836,42.10070504504642,1007.5634161330224,47.452636455443404
1708126485.7673287,2,3,23.1284375,279307,42.2863454420312,1007.5372426276518,47.671546380425255
1708126486.7793572,2,3,23.1102734375,280017,42.466624224376474,1007.513754512661,47.86800016158377
1708126487.7912335,2,2,23.0880078125,281208,42.634462174592045,1007.4868438867732,48.09308426378964
1708126488.8032043,2,2,23.0657421875,279543,42.729376893258205,1007.4582175537777,48.33252411503698
1708126489.8151572,3,3,23.0466015625,280492,42.78813998386453,1007.424520601482,48.614383315123504
1708126490.827038,3,3,23.0270703125,282409,42.8468773713288,1007.3987476953772,48.829966737798
1708126491.8387606,3,3,23.0067578125,283377,42.91773549029245,1007.3802453568643,48.98473657329616
1708126492.8507924,2,2,22.98234375,284842,42.93329023316883,1007.3703254396969,49.06771643467774
1708126493.8624468,2,2,22.95578125,287568,42.90593855976891,1007.3619589484657,49.13770244091719
1708126494.8744714,2,2,22.9284375,288069,42.84804326898978,1007.3591445566703,49.16124503737194
1708126495.8864691,3,3,22.90265625,288824,42.80252746857231,1007.3606529902078,49.148626872145236
1708126496.898432,3,3,22.8753125,290857,42.7507656365795,1007.3561175479448,49.186566249693065
1708126497.910423,3,3,22.848359375,290091,42.71732690442722,1007.350517149539,49.23341427084234
1708126498.9223971,3,3,22.8208203125,290857,42.665578326740636,1007.34564949899,49.27413293739576
1708126499.934402,3,3,22.7938671875,292919,42.63216371578568,1007.3451873962617,49.2779985080705
1708126500.9464607,3,3,22.768671875,291370,42.586791305042915,1007.3339432422088,49.37205827873817
1708126501.9584033,3,3,22.74953125,293439,42.59682955974177,1007.3311016654496,49.39582881498087
1708126502.9703734,3,3,22.72921875,292919,42.58849444253895,1007.3297290071206,49.40731148202691
1708126503.9823952,3,3,22.6938671875,295538,42.60889657089879,1007.337506761687,49.3422485786977
1708126504.9941113,3,3,22.65421875,299013,42.65923485160423,1007.3329531880518,49.38034033574598
1708126506.0060585,3,3,22.5946484375,297666,42.68303656762241,1007.3310898538398,49.39592762231267
