Time,Counts
1711146242.4860938,4
1711146252.4964404,3
1711146262.5067554,1
1711146272.51707,4
1711146282.5273688,2
1711146292.5376887,4
1711146302.5480452,2
1711146312.5583222,2
1711146322.5686326,2
1711146332.5690005,3
1711146342.579325,3
1711146352.5896344,3
