Time,Counts
1711147873.9543474,0
1711147883.964703,0
1711147893.975066,0
1711147903.9853904,2
1711147913.995727,4
1711147924.0060718,0
1711147934.0164046,0
1711147944.0267305,1
1711147954.0370562,2
1711147964.0473895,1
1711147974.0529845,2
1711147984.0633135,1
