Time,Counts
1711147555.7618158,6
1711147565.7721338,11
1711147575.78245,4
1711147585.79278,4
1711147595.803163,9
1711147605.8129518,8
1711147615.823277,9
1711147625.833612,5
1711147635.8409941,8
1711147645.8513217,11
1711147655.8616257,10
1711147665.8689518,6
