Time,Counts
1711145501.7431006,9
1711145511.7534251,11
1711145521.763746,14
1711145531.7731376,15
1711145541.783332,8
1711145551.793538,9
1711145561.8038518,4
1711145571.8141732,7
1711145581.8245018,8
1711145591.8348172,7
1711145601.8449917,8
1711145611.8553789,12
