Time,PM1,PM2.5,PM10,Temperature,Gas,Humidity,Pressure,Altitude
1708128149,3,4,4,24.16378906,205557,40.44945624,1008.674871,38.16089835
1708128150,3,4,4,24.16339844,205924,40.45538787,1008.682831,38.09438386
1708128151,3,4,4,24.16300781,207031,40.44937207,1008.683908,38.08538715
1708128152,3,4,4,24.16242188,206537,40.46125656,1008.684662,38.07908181
1708128153,3,4,4,24.16144531,208150,40.46115132,1008.676169,38.15005599
1708128154,2,3,3,24.16027344,208400,40.45505112,1008.674236,38.16620401
1708128155,2,3,3,24.15890625,209788,40.4549038,1008.673702,38.170664
1708128156,2,3,3,24.15714844,209661,40.43082116,1008.672524,38.18050673
1708128157,2,3,3,24.15675781,209788,40.43077908,1008.673601,38.17151008
1708128158,2,3,3,24.1565625,210937,40.43673102,1008.673279,38.17420143
1708128159,2,3,3,24.15617188,211323,40.43668894,1008.674356,38.1652048
1708128160,3,4,4,24.15773438,210681,40.44880388,1008.676932,38.14367401
1708128161,3,4,4,24.15890625,212881,40.4549038,1008.684027,38.08438804
1708128162,3,4,4,24.158125,212229,40.46079348,1008.682739,38.09515343
1708128163,3,4,4,24.15714844,213274,40.46068824,1008.677687,38.13736875
1708128164,1,3,3,24.15734375,214462,40.44876179,1008.674567,38.16343604
1708128165,1,3,3,24.15734375,215128,40.43681517,1008.676288,38.14905671
1708128166,1,3,3,24.15832031,216067,40.43692036,1008.672736,38.17873803
1708128167,2,3,3,24.15929688,216742,40.43105255,1008.672626,38.17966071
1708128168,2,3,3,24.16027344,217150,40.43713075,1008.672515,38.18058343
1708128169,2,3,3,24.16144531,216607,40.43725699,1008.674448,38.16443541
1708128170,3,5,5,24.16046875,217969,40.44312503,1008.669396,38.20665098
1708128171,3,5,5,24.15890625,218244,40.4429567,1008.666819,38.22818168
1708128172,3,5,5,24.15773438,218657,40.43685725,1008.666608,38.22995028
1708128173,2,4,4,24.1565625,217832,40.43075805,1008.666396,38.23171892
1708128174,2,4,4,24.15519531,219766,40.4306108,1008.664141,38.25055835
1708128175,2,4,4,24.15324219,221593,40.40651095,1008.669525,38.20557512
1708128176,2,4,4,24.15246094,220465,40.40045503,1008.669957,38.20196127
1708128177,3,5,5,24.15207031,220465,40.41832908,1008.669313,38.20734399
1708128178,3,5,5,24.15167969,220465,40.40037094,1008.660065,38.28462333
1708128179,3,5,5,24.15109375,222304,40.41822393,1008.653936,38.3358356
1708128180,3,5,5,24.14914063,222876,40.40606943,1008.654157,38.3339904
1708128181,3,5,5,24.14660156,221169,40.41176808,1008.653412,38.34021946
1708128182,3,5,5,24.14484375,223595,40.39963519,1008.652234,38.35006251
1708128183,3,5,5,24.14289063,222876,40.39942499,1008.657617,38.30508004
1708128184,3,5,5,24.1409375,223595,40.38130111,1008.66472,38.24571908
1708128185,3,5,5,24.14015625,224463,40.37524628,1008.668594,38.21334752
1708128186,3,5,5,24.139375,224900,40.37516225,1008.665585,38.23849214
1708128187,3,5,5,24.13820313,224463,40.36309535,1008.661932,38.26901958
1708128188,3,5,5,24.13722656,224173,40.35702025,1008.658601,38.29685565
1708128189,3,5,5,24.13664063,226370,40.35695725,1008.657635,38.30492986
1708128190,3,5,5,24.13449219,225927,40.35075641,1008.655813,38.32015629
1708128191,3,5,5,24.13195313,226518,40.33854452,1008.656788,38.31200767
1708128192,3,5,5,24.12960938,226666,40.35620122,1008.661526,38.27241017
1708128193,3,5,5,24.12707031,228308,40.33801971,1008.662501,38.2642623
1708128194,3,5,5,24.12375,228760,40.33169383,1008.657026,38.31001678
1708128195,3,5,5,24.120625,227559,40.31942071,1008.662197,38.26680767
1708128196,3,5,5,24.11613281,228912,40.3308753,1008.661672,38.27119689
1708128197,2,4,4,24.11261719,229975,40.33049754,1008.661036,38.27650787
1708128198,2,4,4,24.11007813,229670,40.31828769,1008.66029,38.28274024
1708128199,2,4,4,24.10890625,229214,40.3241302,1008.661799,38.27013234
1708128200,3,4,4,24.10734375,228912,40.33589974,1008.660943,38.27728592
1708128201,3,4,4,24.10695313,229670,40.3418268,1008.658578,38.29704729
1708128202,3,4,4,24.10480469,229670,40.35353457,1008.660197,38.28351873
1708128203,3,3,4,24.10285156,228912,40.35332463,1008.650094,38.36794722
1708128204,3,3,4,24.10226563,230740,40.3711712,1008.659451,38.28975174
1708128205,3,3,4,24.09972656,229063,40.38283892,1008.655264,38.32474144
1708128206,2,2,3,24.09777344,229975,40.40054155,1008.655484,38.32290017
1708128207,2,2,3,24.09445313,231666,40.39421326,1008.655171,38.32552162
1708128208,2,2,3,24.08898438,231821,40.40556723,1008.659917,38.28586036
1708128209,2,2,3,24.08292969,232755,40.39894469,1008.656814,38.31178711
1708128210,3,3,4,24.07726563,231976,40.39236457,1008.654356,38.33233162
1708128211,3,3,4,24.07082031,233539,40.40361315,1008.65405,38.33488812
1708128212,3,3,4,24.0659375,234646,40.37920553,1008.6546,38.33029063
1708128213,3,3,4,24.06320313,235284,40.36100218,1008.655252,38.32484096
1708128214,3,3,4,24.06007813,234013,40.35469702,1008.65698,38.31039754
1708128215,3,3,4,24.055,235924,40.34221353,1008.643444,38.42351251
1708128217,2,2,3,24.05246094,236246,40.34790955,1008.646139,38.40099463
1708128218,2,2,3,24.05109375,235603,40.35373165,1008.649046,38.37670444
1708128219,2,2,3,24.05050781,236568,40.37157692,1008.65152,38.35602499
1708128220,2,2,3,24.04992188,235443,40.37151394,1008.653995,38.33534562
1708128221,3,3,4,24.04777344,235284,40.36531343,1008.648731,38.37933122
1708128222,3,3,4,24.04621094,235924,40.37111509,1008.649595,38.37211035
1708128223,3,3,4,24.04621094,236892,40.39499559,1008.640993,38.44399626
