Time,PM1,PM2.5,PM10,Temperature,Gas,Humidity,Pressure,Altitude
1708128945.0850773,4,6,6,34.78800781,591348,100,692.6947881967876,3095.0960444746106
1708128946.0958614,4,6,7,23.958125,105729,41.613895785471485,1008.681512683258,38.10539900136065
1708128947.1064498,4,6,7,23.99152344,114671,41.53338247524667,1008.6918721336181,38.01883369050005
1708128948.117996,4,6,7,24.0284375,123858,41.40521984027161,1008.699423863647,37.955730616943065
1708128949.129258,4,6,6,24.06339844,131138,41.300945544343776,1008.7020286250521,37.933965037419206
1708128950.1405778,4,6,6,24.09367188,139438,41.19621574784796,1008.6986182526213,37.962462371649686
1708128951.1520889,4,6,6,24.11964844,146509,41.09707275482562,1008.6967208249907,37.978317456589465
1708128952.1636977,4,6,7,24.14191406,152202,40.98559205,1008.695583577901,37.98782041252697
1708128953.1770437,4,6,7,24.16085938,157930,40.921740724574235,1008.6889686845735,38.04309532680479
1708128954.1899874,4,6,7,24.17628906,163649,40.83956395227904,1008.681717,38.10369118159585
1708128955.2011843,4,6,7,24.18996094,168177,40.775191075436226,1008.683611590726,38.08786011913092
1708128956.2124746,4,6,7,24.20285156,171283,40.71674028740945,1008.6859380276667,38.06841999055373
1708128957.2239094,4,6,7,24.21515625,175548,40.66422687825995,1008.6855766958178,38.07143934256873
1708128958.235331,4,5,6,24.22589844,180215,40.623520384430634,1008.6843592209218,38.08161278180424
1708128959.2471218,4,5,6,24.23585938,190213,40.59469720749134,1008.6766899981194,38.14569841567889
1708128960.2589173,4,5,6,24.24445313,194265,40.57768828695406,1008.6788129559084,38.127958495745645
1708128961.2700589,4,5,6,24.25128906,198493,40.56646940285266,1008.6814793405207,38.10567762005018
1708128962.281357,4,5,6,24.25773438,201377,40.54923066270076,1008.674896206159,38.16068777437034
1708128963.2928293,4,5,6,24.26398438,204466,40.52001773,1008.671432867732,38.18962832747017
1708128964.3043852,3,5,6,24.26769531,207031,40.50248802759678,1008.6689461256323,38.210408238290285
1708128965.315291,3,5,6,24.27160156,209915,40.49095710434465,1008.6719446040343,38.18535212129084
1708128966.3263211,3,5,6,24.27433594,211840,40.449424740365245,1008.6712897589636,38.19082418314193
1708128967,3,5,5,24.27414063,210425,40.41953352,1008.6692466276909,38.20789715704294
1708128968.3482156,3,5,5,24.27316406,212750,40.41345490367368,1008.672799767033,38.17820615319083
1708128969.3609493,3,5,5,24.27082031,214728,40.40722921752244,1008.6672142921727,38.22487995
1708128970.3744617,3,5,5,24.26828125,217695,40.37112180575734,1008.6681911403829,38.216717113892976
1708128971.3874235,3,5,5,24.26457031,221169,40.31698681118319,1008.6672357499024,38.224700639184626
1708128972.400397,3,5,5,24.25988281,224318,40.26873330022207,1008.6629490741514,38.260521444367924
1708128973.413279,3,5,5,24.25617188,224028,40.20866818446183,1008.6551093818214,38.32603269
1708128974.4259417,3,5,5,24.25128906,225486,40.17235531805109,1008.6556637564805,38.321400123386425
1708128975.4399977,3,5,5,24.2471875,229366,40.159987748942136,1008.6592271914211,38.29162276214564
1708128976.4545438,3,5,5,24.24464844,229518,40.15375204,1008.6602037666499,38.28346215844159
1708128977.4685214,2,4,4,24.23566406,230128,40.158752490172134,1008.6608789757961,38.27781987872749
1708128978.4820392,2,4,4,24.22082031,231048,40.13927254985115,1008.6501714818856,38.36729573865571
1708128979.4956982,1,3,4,24.20441406,233382,40.11962866535097,1008.6454916870352,38.40640211202021
1708128980.5096335,2,4,5,24.18488281,236085,40.075812132176104,1008.6425415077919,38.431055150886934
1708128981.5242572,2,4,5,24.16496094,237867,40.031968576992796,1008.6509913266043,38.36044477960361
1708128982.538377,2,5,5,24.14230469,238522,40.00571805,1008.6497675517144,38.370671146659596
1708128983.5520082,1,4,4,24.12296875,238687,39.98578422740376,1008.6402514043502,38.45019233654053
1708128984.5658472,1,4,4,24.10480469,240175,39.98384594995437,1008.6412698828835,38.44168144468446
1708128985.5789533,2,4,4,24.08332031,241178,39.96964305,1008.6454142087667,38.40704955490806
1708128986.5918968,2,4,4,24.05851563,239016,39.94318030490095,1008.6458009579846,38.40381770676062
1708128987.6031632,3,5,5,24.02980469,240009,39.904403312872034,1008.6414631139922,38.440066714265676
1708128988.614337,3,4,5,23.99972656,239016,39.85954369307173,1008.6451893082844,38.408928923636864
1708128989.625423,3,4,5,23.96769531,238687,39.82639104079152,1008.6456897329097,38.404747152757984
1708128990.6358335,2,3,4,23.93644531,238851,39.787384810244944,1008.6354327448348,38.49045945
1708128991.6469011,1,3,4,23.908125,238358,39.75464853635319,1008.6162437534811,38.650813720320535
1708128992.6598177,1,3,4,23.88039063,239843,39.72792865763324,1008.5980193438228,38.80310968142774
1708128993.6742864,1,3,4,23.85265625,239016,39.72499049237924,1008.5729132029132,39.01291786916313
1708128994.6871746,1,3,4,23.82414063,239181,39.70414032043114,1008.5482370603651,39.21913674705932
1708128995.6984181,1,3,4,23.79308594,239843,39.68896871186003,1008.5210911762327,39.44600001
1708128996.7094963,1,3,4,23.76183594,241683,39.68566314949648,1008.4884622987388,39.718692223953006
1708128997.7205555,2,4,5,23.73214844,241346,39.694407155524864,1008.4498113986258,40.04172206521877
1708128998.7317472,2,4,5,23.70441406,242190,39.69147456242702,1008.417820932797,40.309094057476656
1708128999.7429187,2,4,5,23.67824219,242359,39.7065325,1008.4038825627316,40.42559121981308
1708129000.755768,3,4,5,23.65089844,243551,39.73335201140731,1008.3794121364095,40.63011866267251
1708129001.769012,3,4,5,23.62375,244928,39.73642338392419,1008.3672980517106,40.73137146169705
