Time,PM2.5,PM10,Temperature,Gas,Humidity,Pressure,Altitude
1708734112.1782584,0,0,23.683125,15316,34.63917051397032,1006.6090592511104,55.437663769979906
1708734113.190488,0,0,22.78234375,17926,33.07873044149102,1006.4026750632694,57.165269767878605
1708734114.2023952,0,0,22.1579296875,28322,33.083797122045084,1006.2451104880575,58.484408426856945
1708734115.214107,0,0,21.690546875,39211,33.06414626170338,1006.1198627171611,59.53310847107859
1708734116.2265406,0,0,21.335859375,49083,33.03244337873121,1006.0270034646215,60.31068757174116
1708734117.2390392,1,1,21.068671875,58351,33.003077501610925,1005.9521111640236,60.93785845161501
1708734118.2510958,1,1,20.867890625,66665,32.97411650384446,1005.9010934738565,61.36511773964541
1708734119.263121,1,1,20.713203125,74360,32.96040417026287,1005.8571471419342,61.73317039134517
1708734120.2751334,1,1,20.624140625,80896,32.86361405547046,1005.8684032897619,61.63889836945464
1708734121.287144,1,1,20.5723828125,87671,32.853491688011644,1005.8619176925298,61.69321616979268
1708734122.299126,1,1,20.5426953125,93442,33.13438823876964,1005.8582635603649,61.72382017190264
1708734123.3108912,1,1,20.537421875,96765,33.09497357339523,1005.8528452266879,61.769199838900605
1708734124.3229887,0,0,20.571796875,100782,33.025717753769925,1005.9325746096296,61.101469711453554
1708734125.3349025,0,0,20.6411328125,106147,33.14870238747615,1006.0640252020805,60.00067025663924
1708734126.3481882,0,0,20.7395703125,109764,33.20200579953902,1006.0411874983005,60.19191042207786
1708734127.3602555,1,1,20.8567578125,114023,33.2291690533333,1006.0104406508515,60.449386350697175
1708734128.372204,1,1,20.98234375,117875,33.34072929920745,1005.9902650709853,60.618341318363406
1708734129.384116,1,1,21.0743359375,121996,33.4996491317888,1005.9684179690164,60.801297092386825
1708734130.3958633,1,1,21.189765625,125562,33.359340152862,1005.9533071691093,60.92784244458592
1708734131.4078808,0,0,21.2684765625,129744,32.976340604482985,1005.8954828402893,61.4121063416544
1708734132.4199884,0,0,21.3020703125,133148,32.88475080202412,1005.8628927924364,61.68504955111268
1708734133.4319444,0,0,21.3309765625,136512,32.84838982726766,1005.8480679154901,61.809210974031686
1708734134.4439309,0,0,21.4040234375,138430,32.97728483644783,1005.8780426294097,61.55816805126103
1708734135.4559393,0,0,21.4926953125,140402,32.70153459254534,1005.9033905555402,61.34587992769373
1708734136.4679718,0,0,21.5497265625,143654,32.60659354676358,1005.8757915865816,61.577020677063594
1708734137.4800203,0,0,21.5985546875,145652,32.572039550438824,1006.0685007984621,59.96319256653659
1708734138.4920232,0,0,21.6758984375,147577,32.54000919089749,1006.0714415981089,59.93856701063324
1708734139.504333,0,0,21.7618359375,150090,32.43104022187033,1005.9964538969516,60.56651436797977
1708734140.5163465,0,0,21.8325390625,152968,32.3873413672248,1005.938666362227,61.050453309584725
1708734141.5282617,0,0,21.8864453125,155093,32.730930113593715,1005.933091154913,61.097143806803366
1708734142.5406947,0,0,21.9641796875,157129,32.27137810073779,1005.9485365781102,60.96779406543207
1708734143.5531268,0,0,22.0028515625,159524,32.14176858008509,1005.8969489888634,61.39982744553322
1708734144.565102,0,0,22.0270703125,162306,32.03867291043067,1005.8741840871096,61.59048360754191
1708734145.5771794,0,0,22.04796875,165025,31.963016526628078,1005.8561221976743,61.74175450438119
1708734146.5893097,0,0,22.0536328125,166336,31.880536757824256,1005.8433656430358,61.84859379182778
1708734147.6011782,0,0,22.0534375,169706,31.68709919952609,1005.8396200770642,61.879964037859196
1708734148.6132104,0,0,22.0544140625,171443,31.560220850245738,1005.8378332818634,61.89492902053131
1708734149.6250613,1,1,22.056171875,172680,31.466602629697185,1005.8424809946738,61.856002980457276
1708734150.6371453,1,1,22.0536328125,174843,31.334107975667795,1005.8553325087254,61.74836831199934
1708734151.649051,1,1,22.0469921875,176874,31.24542319844722,1005.8681661345469,61.64088457315761
1708734152.6608248,1,1,22.0325390625,178953,31.34882292784175,1005.8217837230668,62.029350186148314
1708734153.6725383,1,1,22.039375,181473,31.206238225096172,1005.804148276706,62.17705576657093
1708734154.684473,1,1,22.0587109375,181670,31.059360918002156,1005.8142432816319,62.0925048537622
1708734155.6960196,1,1,22.0841015625,183864,31.00655079263165,1005.8293282571674,61.96616162424239
1708734156.7067747,1,1,22.101875,186111,31.107040996603743,1005.8231318981093,62.01805864004932
1708734157.7174883,1,1,22.124921875,186746,30.94957426222732,1005.8274571874905,61.98183256303498
1708734158.7282023,1,2,22.1540234375,188132,30.89711072585938,1005.8282211044458,61.975434457540885
1708734159.7389023,1,2,22.18,188563,30.73461673311861,1005.8374378103164,61.898241224438905
