Time,Latitude,Longitude,counts,Temperature,Humidity,Pressure,Altitude,VOC
1712975342.98,0,0,3283.5,24.319453125000003,87.58323408751994,865.7646623064339,1398.6616290342283,489589.0
1712975344.98,0,0,30.0,14.52541015625,75.06018662317366,1008.5906750791745,38.864484392585396,58738.5
1712975346.98,0,0,40.5,14.64259765625,74.6953770228935,1008.5726858942562,39.01481747250942,85713.5
1712975348.96,0,0,40.5,14.733613281250001,74.27748086666563,1008.5754987103048,38.99131102276239,110354.5
1712975350.98,0,0,31.0,14.8157421875,73.94724923723989,1008.5933525688279,38.842108973887235,128363.0
1712975352.98,0,0,33.5,14.89396484375,73.69451435088891,1008.618254786883,38.63400839756484,142264.5
1712975354.98,0,0,38.5,14.968476562500001,73.50494938683002,1008.6379527278859,38.46940123363803,153713.5
1712975356.98,0,0,33.5,15.033515625,73.32111576643018,1008.644802972731,38.41215731749211,163386.0
1712975358.99,0,0,33.5,15.09796875,73.15141502892124,1008.6398916817568,38.453198352275635,170635.5
1712975360.98,0,0,29.0,15.1606640625,73.07308391208139,1008.6347771870672,38.495937630210406,176962.5
1712975362.98,0,0,35.5,15.232734375,73.02790869479941,1008.6315211118529,38.52314710759053,186044.0
1712975364.95,0,0,31.5,15.232734375,73.02790869479941,1008.6315211118529,38.52314710759053,186044.0
1712975366.97,0,0,31.5,15.309687499999999,72.97294574202861,1008.6317460406677,38.52126749878764,196141.5
1712975368.98,0,0,29.0,15.37873046875,72.85344083149124,1008.6360694819192,38.485138564431566,200449.5
1712975370.98,0,0,25.0,15.45197265625,72.73113155982824,1008.6481503297593,38.384185349877086,206181.5
1712975372.98,0,0,28.5,15.51408203125,72.52634867406007,1008.6491700856332,38.37566383234474,209545.5
1712975374.98,0,0,37.0,15.571796875,72.30702256640896,1008.6519691679516,38.35227355019375,214074.5
1712975376.97,0,0,37.0,15.627070312499999,72.10154703756837,1008.6561519517284,38.317320612175216,217423.0
1712975378.98,0,0,30.0,15.687421875,71.93206712038085,1008.6632410549339,38.258081568703275,219420.0
1712975380.98,0,0,34.0,15.749726562500001,71.77351526773211,1008.6681160398809,38.21734467813171,222876.0
1712975382.98,0,0,27.5,15.806171875,71.59666958358736,1008.6687788178535,38.211806315866085,224754.5
1712975384.98,0,0,38.5,15.86427734375,71.4341958876715,1008.6676472931613,38.221261697168686,227260.0
1712975386.99,0,0,38.5,15.92130859375,71.23673269810693,1008.6737398505352,38.17035057847535,230128.0
1712975388.98,0,0,28.5,15.98146484375,71.08528773937799,1008.6786357316034,38.129439447685506,231049.0
1712975390.98,0,0,30.5,16.04708984375,70.99759203778724,1008.6825681746194,38.09657911103368,231667.0
1712975392.98,0,0,32.5,16.121015625,70.94260259243691,1008.6829677061021,38.09324054363162,231048.5
1712975394.99,0,0,32.0,16.18283203125,70.8543789310549,1008.6752269097465,38.15792435132712,234092.5
1712975396.95,0,0,32.0,16.242109375,70.75882534319906,1008.6777166152101,38.13711976793553,236007.0
1712975398.98,0,0,35.0,16.30734375,70.69559079207757,1008.6737330620596,38.1704073326624,236085.5
1712975400.98,0,0,26.5,16.371699218750003,70.66012618482893,1008.6736945861762,38.170728815958405,237867.5
1712975402.98,0,0,30.5,16.431757812500003,70.50902989869456,1008.6792147535982,38.124601047971,239270.0
1712975404.96,0,0,30.5,16.4712109375,70.23656590632223,1008.6753236656369,38.15711582148311,244755.5
1712975406.98,0,0,36.5,16.505,69.80377447218551,1008.6792705215358,38.12413497727809,246673.0
1712975408.98,0,0,31.5,16.5425,69.42434421583684,1008.6838797331362,38.08561947545499,247024.5
1712975410.98,0,0,25.0,16.56720703125,69.09901869192723,1008.6936760350777,38.003760059901715,249067.5
1712975412.98,0,0,33.0,16.55939453125,68.7589176276941,1008.6917035788339,38.02024216109737,252238.0
1712975414.92,0,0,33.0,16.55939453125,68.7589176276941,1008.6917035788339,38.02024216109737,252238.0
1712975416.98,0,0,34.0,16.545234375,68.41149611836374,1008.6910553890486,38.025658541366674,253996.5
1712975418.98,0,0,34.5,16.54015625,68.14524193473856,1008.675542120169,38.15529036703451,255116.0
1712975420.98,0,0,33.5,16.5426953125,67.93552834094676,1008.667086351337,38.225949124601485,256628.0
1712975422.96,0,0,33.5,16.53400390625,67.73811472867484,1008.6564702314292,38.31466099667087,257294.0
1712975424.98,0,0,34.5,16.51154296875,67.55258399938378,1008.6449430445809,38.41098682552487,259705.0
1712975426.98,0,0,37.5,16.49787109375,67.37538912487383,1008.6477936761951,38.38716568589545,261075.5
1712975428.98,0,0,41.5,16.4919140625,67.29555993451072,1008.6560601568453,38.31808777456176,261567.0
1712975430.98,0,0,41.5,16.48068359375,67.21155120089819,1008.666505879366,38.23079966192583,262459.0
1712975432.97,0,0,41.5,16.4548046875,67.1562772207329,1008.6700947755812,38.200809796946245,263861.0
1712975434.98,0,0,36.0,16.41994140625,67.07912503628083,1008.6697867057071,38.2033841151958,264465.0
1712975436.98,0,0,35.5,16.400703125,67.0831421990714,1008.6716273221826,38.18800344779272,264664.5
1712975438.98,0,0,40.5,16.395625,67.09953458723265,1008.6849299309956,38.076843826158665,265272.5
1712975440.99,0,0,38.5,16.40216796875,67.16564869994863,1008.683029114273,38.09272743939148,264259.5
1712975442.96,0,0,38.5,16.41759765625,67.23652935943846,1008.6794596325086,38.12255474370265,263156.5
1712975444.98,0,0,37.5,16.43830078125,67.30478302040063,1008.6800146343168,38.117917010156205,263355.5
1712975446.98,0,0,38.0,16.44484375,67.33663995217526,1008.6673058419208,38.22411507908362,265576.5
